Technique,Model,Use_Case,Pre_Compression_Accuracy (%),Post_Compression_Accuracy (%),Model_Size_MB_Before,Model_Size_MB_After,Inference_Time_Before (ms),Inference_Time_After (ms),Energy_Consumption_After (mWh),Device_Type,Network_Availability,Location
Weight Sharing,ResNet18,Education,89.4,87.5,17.9,5.9,455.8,228,13.1,Mid-Range,Poor,Chhattisgarh
Pruning,MobileNetV2,Agriculture,91.2,88.7,98.9,31.8,426.8,279.7,13.2,Low-End,Good,Rajasthan
Quantization,EfficientNet,Healthcare,91.3,89.4,54.3,29.4,447,232.1,30.5,Low-End,Moderate,Madhya Pradesh
Knowledge Distillation,EfficientNet,Healthcare,84.4,82.3,80.3,28.7,372.5,260.4,16.9,Low-End,Good,Chhattisgarh
Weight Sharing,SqueezeNet,Agriculture,91.6,90.2,7.1,4.6,521.8,391.3,19.2,Mid-Range,Good,Rajasthan
Pruning,ResNet18,Healthcare,84.7,83.9,27.4,15.3,500.7,374.6,10.8,Mid-Range,Poor,Uttar Pradesh
Quantization,SqueezeNet,Agriculture,91.6,89.7,85.4,28.6,587,294,16.7,Mid-Range,Moderate,Manipur
Knowledge Distillation,MobileNet,Healthcare,93.8,93,17.4,7.5,164.8,90.9,33.9,Low-End,Poor,Uttar Pradesh
Weight Sharing,SqueezeNet,Healthcare,92.6,90.1,76.3,31,596.2,401.1,16.9,Low-End,Good,Bihar
Pruning,MobileNetV2,Education,88.1,86.8,7.9,2.8,322.8,229.7,30.3,Mid-Range,Moderate,Andhra Pradesh
Quantization,SqueezeNet,Healthcare,85.3,83.5,54.1,31.7,218.4,167.1,30.5,Mid-Range,Poor,Madhya Pradesh
Knowledge Distillation,ResNet18,Education,84.7,83.5,60.3,21.1,331.8,219.1,11.2,Low-End,Moderate,Rajasthan
Weight Sharing,EfficientNet,Healthcare,83.5,80.7,43.9,24.4,224.8,126.8,26.1,Low-End,Moderate,Tamil Nadu
Pruning,SqueezeNet,Healthcare,88.8,87.6,99.1,48.1,525.3,414.2,23.8,Mid-Range,Poor,Odisha
Quantization,EfficientNet,Education,87.8,87,71.3,43.1,278.1,172.7,31.6,Mid-Range,Poor,Bihar
Knowledge Distillation,MobileNet,Agriculture,84.7,83.2,64.5,24.4,198.1,147.9,28.4,Low-End,Moderate,West Bengal
Weight Sharing,SqueezeNet,Education,88.9,86.5,49.2,26,310.6,238.9,18,Low-End,Poor,Assam
Pruning,MobileNetV2,Education,85.8,83.6,71.9,36.9,243.9,189.8,13.3,Mid-Range,Moderate,Bihar
Quantization,MobileNet,Agriculture,87.9,86.2,53.9,36.6,558.4,391.4,19.7,Mid-Range,Poor,West Bengal
Knowledge Distillation,MobileNetV2,Agriculture,83,82.2,92.3,30,214.2,117.5,37.2,Mid-Range,Good,Uttar Pradesh
Weight Sharing,EfficientNet,Education,91,89.7,62.7,22.5,239.6,180.3,29.6,Mid-Range,Good,Chhattisgarh
Pruning,ResNet18,Education,85.8,84.3,91.7,57.1,280.8,165.8,37.9,Low-End,Good,Madhya Pradesh
Quantization,SqueezeNet,Agriculture,86,84.3,83.8,54.8,199.8,113.9,12.6,Low-End,Good,Tamil Nadu
Knowledge Distillation,ResNet18,Agriculture,85.5,83.6,22,8.8,560.6,348.3,15.9,Mid-Range,Good,Madhya Pradesh
Weight Sharing,MobileNetV2,Education,84.1,82.9,39.7,16.4,333,192.3,33.9,Mid-Range,Poor,Bihar
Pruning,ResNet50,Education,89.3,88.6,96.8,49.2,162.7,99.5,21.6,Mid-Range,Moderate,Madhya Pradesh
Quantization,MobileNet,Healthcare,90.6,88.1,73.4,40.7,533.3,412.2,24.1,Low-End,Good,Uttar Pradesh
Knowledge Distillation,MobileNetV2,Education,89.4,87.8,51.7,16,310.6,201.6,24.4,Low-End,Moderate,Tamil Nadu
Weight Sharing,MobileNet,Healthcare,89.2,88.4,13.4,5.3,168.2,130.1,36.1,Low-End,Poor,Rajasthan
Pruning,SqueezeNet,Education,90.2,89.5,25,10.2,538.7,298.6,10.5,Mid-Range,Moderate,Chhattisgarh
Quantization,MobileNetV2,Healthcare,86.6,84.3,79.1,24,437.2,293.9,20,Low-End,Poor,Tamil Nadu
Knowledge Distillation,MobileNetV2,Agriculture,90.3,88.5,16.2,5.5,206.5,133.2,13.7,Mid-Range,Moderate,Manipur
Weight Sharing,ResNet50,Education,86.9,86.1,97.2,55.8,454.5,274.3,19.1,Low-End,Poor,Chhattisgarh
Pruning,MobileNet,Healthcare,85.5,84,61.5,25.4,427.5,340.4,27.1,Mid-Range,Good,Assam
Quantization,EfficientNet,Agriculture,85.2,84.5,69.5,37.9,267.8,170.7,33.9,Low-End,Poor,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Healthcare,90.7,88.1,86,51.3,264.7,192.7,15,Low-End,Moderate,Chhattisgarh
Weight Sharing,MobileNetV2,Education,87.2,84.4,67.5,34.8,396.2,240.9,29.9,Low-End,Good,Jharkhand
Pruning,MobileNet,Healthcare,83.5,80.5,83.5,50.1,540.2,397.4,15.5,Mid-Range,Poor,Odisha
Quantization,ResNet18,Education,89.5,88.5,31.2,18.9,238.6,183.6,20.8,Mid-Range,Good,Madhya Pradesh
Knowledge Distillation,MobileNetV2,Education,84.8,83.5,46.5,19.8,197.8,137.7,15.5,Mid-Range,Good,West Bengal
Weight Sharing,ResNet50,Education,88.4,87.7,99.3,33.7,500.8,322.8,30.2,Mid-Range,Good,Assam
Pruning,ResNet50,Agriculture,91.6,89.9,31.2,11.6,413.6,320.1,29.3,Low-End,Poor,Odisha
Quantization,EfficientNet,Education,91.7,89.3,77.2,25.7,595.8,394.2,21.8,Mid-Range,Good,Rajasthan
Knowledge Distillation,ResNet18,Healthcare,86.9,84.2,5.9,4,574.8,353.4,31.8,Low-End,Good,Odisha
Weight Sharing,SqueezeNet,Agriculture,83.4,82.1,63.8,24.6,329.4,190.4,33.6,Mid-Range,Moderate,Uttar Pradesh
Pruning,ResNet18,Education,85.7,84.4,8,3.2,517.8,264.5,17.8,Mid-Range,Good,Rajasthan
Quantization,ResNet50,Agriculture,92.7,90,63,42.8,244.5,141.5,14.8,Mid-Range,Moderate,West Bengal
Knowledge Distillation,ResNet50,Healthcare,92.4,91.5,55.4,21.9,307.5,159,12.9,Mid-Range,Poor,Assam
Weight Sharing,ResNet18,Agriculture,92.6,90.2,25.3,17.3,484.1,342.2,21.3,Low-End,Poor,Madhya Pradesh
Pruning,MobileNet,Agriculture,84.9,82.1,42.5,25.6,389.4,237.4,15.3,Mid-Range,Moderate,Bihar
Quantization,EfficientNet,Education,88,85.8,27.3,18.4,513.1,372.3,13.6,Low-End,Moderate,Tamil Nadu
Knowledge Distillation,ResNet50,Agriculture,93.4,92,50.2,28.1,532.4,276.2,22.8,Mid-Range,Poor,Odisha
Weight Sharing,MobileNet,Education,91.8,90.9,25.7,13.9,511.4,383.6,15.9,Mid-Range,Good,Jharkhand
Pruning,ResNet50,Education,90.6,88.8,50.6,31.7,232.6,132.5,13.5,Low-End,Poor,Bihar
Quantization,SqueezeNet,Education,91.2,90.6,55.2,20.7,242.8,126.6,37.2,Mid-Range,Poor,West Bengal
Knowledge Distillation,MobileNet,Agriculture,89.8,87,43.3,17.3,283.9,203.4,35.5,Low-End,Good,Bihar
Weight Sharing,MobileNet,Agriculture,83.7,81.9,55.8,22.4,430.9,312.3,10.2,Mid-Range,Good,Andhra Pradesh
Pruning,EfficientNet,Agriculture,90.5,89.3,87.8,48.6,489.8,273.9,15.5,Low-End,Poor,Uttar Pradesh
Quantization,ResNet50,Agriculture,83.1,81.1,92.4,32.4,417.8,304.1,17.9,Mid-Range,Moderate,West Bengal
Knowledge Distillation,MobileNetV2,Education,85.7,82.9,65.5,23.5,427,231.6,15,Low-End,Poor,Tamil Nadu
Weight Sharing,ResNet50,Healthcare,92.5,90.7,63.5,25,231.9,152.2,34.2,Mid-Range,Poor,Chhattisgarh
Pruning,ResNet18,Agriculture,88.8,86.5,88.3,54.6,423.1,275.5,11.8,Mid-Range,Poor,Andhra Pradesh
Quantization,MobileNetV2,Education,87.5,86.2,76.1,24.3,193.9,153.2,17.8,Low-End,Moderate,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Education,89.4,88,58.2,28.9,510.6,378.9,38.3,Mid-Range,Poor,Jharkhand
Weight Sharing,MobileNetV2,Education,88.5,87.7,5.2,2.8,305.3,173.8,15.5,Low-End,Good,Chhattisgarh
Pruning,SqueezeNet,Healthcare,87.5,85.5,22.3,8.6,375.1,273.6,15.1,Mid-Range,Poor,Chhattisgarh
Quantization,ResNet50,Agriculture,93,91.1,24.8,16.4,395.6,296,22.3,Mid-Range,Good,Madhya Pradesh
Knowledge Distillation,ResNet18,Agriculture,91,90.1,48.2,15.3,437.5,269.3,22.6,Low-End,Good,Tamil Nadu
Weight Sharing,MobileNetV2,Agriculture,83.8,81.6,8.1,4.8,426.3,247,23.4,Mid-Range,Good,West Bengal
Pruning,SqueezeNet,Agriculture,92.6,91.2,20.7,6.8,490,370.7,24.4,Low-End,Good,West Bengal
Quantization,SqueezeNet,Agriculture,83.2,80.3,7.9,4,394.2,299.6,31.2,Mid-Range,Poor,West Bengal
Knowledge Distillation,SqueezeNet,Education,92,89.9,86.9,52.9,449.7,238.4,12.2,Low-End,Poor,Chhattisgarh
Weight Sharing,ResNet50,Healthcare,91.6,89.3,87,40.4,441.9,291.8,22.4,Mid-Range,Poor,Andhra Pradesh
Pruning,SqueezeNet,Agriculture,83.3,81.5,59.4,34.9,411.5,282.1,23.2,Mid-Range,Good,Madhya Pradesh
Quantization,ResNet50,Agriculture,85.4,83.1,25.3,14.5,499,346.4,23.2,Low-End,Good,Bihar
Knowledge Distillation,MobileNetV2,Education,84.1,82.3,32.2,21,195.3,129.7,10.6,Low-End,Poor,Tamil Nadu
Weight Sharing,SqueezeNet,Agriculture,87.6,85.3,75,49.8,493.1,280.1,15.1,Low-End,Poor,Andhra Pradesh
Pruning,SqueezeNet,Education,89.5,87.7,64.5,21.8,208.4,153,13,Mid-Range,Moderate,Uttar Pradesh
Quantization,MobileNetV2,Education,83.7,81.5,67.1,41.8,221.1,166.8,11,Mid-Range,Good,Jharkhand
Knowledge Distillation,SqueezeNet,Education,91.6,88.8,89.2,41,314.5,184,22.1,Low-End,Good,Rajasthan
Weight Sharing,ResNet18,Education,90.1,87.7,52,22.9,433,267.4,31.7,Mid-Range,Poor,Tamil Nadu
Pruning,ResNet50,Healthcare,91.1,90.1,83,44.1,156,109,23,Low-End,Good,Rajasthan
Quantization,ResNet50,Healthcare,89.6,86.6,35.7,13.7,306.8,234.8,39.2,Mid-Range,Moderate,Bihar
Knowledge Distillation,MobileNet,Agriculture,85.9,83.1,86.7,28.2,247,151.4,35,Low-End,Poor,Rajasthan
Weight Sharing,EfficientNet,Healthcare,83.4,82.6,53.8,32.1,183.3,133.4,32.8,Low-End,Poor,Assam
Pruning,MobileNet,Healthcare,92.1,89.1,74.7,44.7,340,268,30.6,Low-End,Poor,Jharkhand
Quantization,ResNet18,Education,88.3,86.4,64.2,38.9,349.3,278.2,28.4,Mid-Range,Good,Rajasthan
Knowledge Distillation,MobileNet,Healthcare,87.7,85.7,48.5,27.4,317.3,221.4,14.3,Mid-Range,Moderate,Uttar Pradesh
Weight Sharing,ResNet50,Agriculture,84,83.1,89.3,35.2,271,145.3,22.5,Mid-Range,Good,Chhattisgarh
Pruning,MobileNet,Healthcare,84,82.3,67.3,34.2,462.2,295.7,12.5,Mid-Range,Good,Chhattisgarh
Quantization,SqueezeNet,Education,86.7,85.2,5,1.8,590.2,437.4,35.6,Mid-Range,Good,Jharkhand
Knowledge Distillation,EfficientNet,Healthcare,85.1,83.9,42.7,24.5,356.6,242.8,18.8,Low-End,Poor,West Bengal
Weight Sharing,ResNet50,Education,91.4,89,80.3,53.2,281.7,181,36.8,Low-End,Poor,Bihar
Pruning,ResNet18,Education,86,85.2,40.3,12.8,163.8,116.9,13.6,Low-End,Moderate,Rajasthan
Quantization,MobileNetV2,Agriculture,91.4,89.1,66.6,35.5,415.7,323.9,33.3,Mid-Range,Good,Jharkhand
Knowledge Distillation,EfficientNet,Healthcare,93,91.2,73.7,34.1,523.6,266.6,33.6,Low-End,Good,Madhya Pradesh
Weight Sharing,MobileNet,Education,90.3,88.3,76.9,31.3,474.6,336,18.3,Mid-Range,Good,Rajasthan
Pruning,EfficientNet,Healthcare,90.3,89.3,36.2,24.3,525.3,344.2,14.8,Mid-Range,Moderate,Chhattisgarh
Quantization,ResNet50,Healthcare,85.4,83.7,7.9,2.4,488.3,302.6,32.5,Low-End,Poor,Madhya Pradesh
Knowledge Distillation,ResNet50,Agriculture,88.5,86,88.8,60.9,181.1,107.1,15.9,Low-End,Moderate,Assam
Weight Sharing,ResNet18,Agriculture,90.2,88.7,95.9,66.4,375.5,267.9,16.9,Low-End,Good,West Bengal
Pruning,ResNet18,Education,88.4,87.3,30.7,12.6,403.3,271.3,38.5,Low-End,Moderate,Madhya Pradesh
Quantization,MobileNetV2,Education,88.8,86,84.6,25.5,214.1,119.8,33.8,Low-End,Poor,Odisha
Knowledge Distillation,ResNet18,Education,87.8,85,83.3,44.9,564.8,345.8,34.6,Low-End,Good,Chhattisgarh
Weight Sharing,ResNet50,Healthcare,92.1,90.6,90.7,28.5,363.6,268.6,36.1,Low-End,Good,Assam
Pruning,SqueezeNet,Agriculture,87.5,85.1,33.7,22.6,514.4,294.8,13.5,Low-End,Good,Andhra Pradesh
Quantization,SqueezeNet,Education,84.8,82.9,46.2,17.3,498.2,311.7,27,Low-End,Moderate,Manipur
Knowledge Distillation,MobileNet,Education,84.9,83.7,86.7,37.3,538.4,327.2,38.3,Low-End,Poor,Bihar
Weight Sharing,EfficientNet,Healthcare,89.7,86.7,72.1,23.4,256.9,164,29.3,Low-End,Moderate,Rajasthan
Pruning,ResNet50,Healthcare,90.2,88,67.4,39.5,502.3,266.2,10.3,Low-End,Good,Tamil Nadu
Quantization,MobileNet,Agriculture,85.6,83,88.5,29.3,369,232.4,34.6,Low-End,Moderate,Odisha
Knowledge Distillation,MobileNetV2,Healthcare,93.7,92.3,31.8,21.8,285.9,154.4,36.8,Mid-Range,Poor,Andhra Pradesh
Weight Sharing,EfficientNet,Education,91.6,91,72.7,27.6,152.1,77.4,10.2,Mid-Range,Moderate,Chhattisgarh
Pruning,ResNet18,Healthcare,88.6,86.4,21.3,14.8,272.5,186.9,17.1,Mid-Range,Good,Chhattisgarh
Quantization,SqueezeNet,Healthcare,87.6,85.7,16.9,8.6,536.5,298.5,14.1,Low-End,Poor,Jharkhand
Knowledge Distillation,MobileNet,Healthcare,87.5,84.8,32.4,12.4,315.9,223,28.5,Low-End,Poor,Manipur
Weight Sharing,MobileNet,Healthcare,87.2,86.4,50.5,25.3,549,340.2,32,Low-End,Good,Assam
Pruning,MobileNet,Healthcare,87.8,85.3,30,9.9,222.1,168.9,11.4,Mid-Range,Good,Tamil Nadu
Quantization,EfficientNet,Healthcare,84.4,83.1,56.1,18.8,218.1,165.7,11.3,Mid-Range,Good,Rajasthan
Knowledge Distillation,SqueezeNet,Education,92.7,91.4,52.9,26.2,571.7,442.9,21,Low-End,Moderate,Bihar
Weight Sharing,ResNet50,Education,84.1,81.2,51.6,28.5,193.9,151.3,35.9,Mid-Range,Poor,Bihar
Pruning,SqueezeNet,Education,85.5,83.3,45.3,14.3,295.5,173.4,21.3,Mid-Range,Moderate,Odisha
Quantization,ResNet50,Education,88.9,86.3,87.4,48.2,198.3,100.9,27.2,Mid-Range,Moderate,West Bengal
Knowledge Distillation,SqueezeNet,Agriculture,85.5,83.6,62.8,36.6,257.8,130,21.8,Mid-Range,Good,Rajasthan
Weight Sharing,EfficientNet,Agriculture,88.1,86,98.5,46.1,202.5,151.4,24.8,Mid-Range,Good,Bihar
Pruning,MobileNetV2,Education,86.2,84.4,30.5,10,396.7,250.5,17.9,Mid-Range,Poor,Odisha
Quantization,ResNet50,Healthcare,83.9,81,96.4,61.5,334.2,242.4,19.8,Low-End,Good,Rajasthan
Knowledge Distillation,MobileNet,Agriculture,83.2,81.7,70.7,27,557.2,378.9,32.2,Mid-Range,Poor,Tamil Nadu
Weight Sharing,MobileNet,Education,86.4,84.7,17.3,7.8,451.5,241.8,33.7,Mid-Range,Poor,Uttar Pradesh
Pruning,ResNet18,Education,87.4,84.9,30.6,19.7,414.9,217.7,18.3,Low-End,Moderate,Uttar Pradesh
Quantization,ResNet18,Healthcare,85.8,84.3,23.3,14.2,305.5,214,26.2,Low-End,Good,Assam
Knowledge Distillation,MobileNetV2,Healthcare,88.4,85.7,30.9,15.8,208,108.2,11.6,Mid-Range,Good,Chhattisgarh
Weight Sharing,MobileNetV2,Education,85.3,83.2,59.1,25.2,376.9,277.2,15.1,Mid-Range,Moderate,Odisha
Pruning,MobileNetV2,Education,92.4,90.5,84.6,52,496.8,332.5,26.5,Low-End,Good,Tamil Nadu
Quantization,ResNet18,Education,85.8,83.8,33.2,15.4,168.7,124.4,18.6,Low-End,Good,West Bengal
Knowledge Distillation,ResNet50,Agriculture,88.8,88.3,54.4,34.7,151.2,101.7,20.3,Low-End,Moderate,Madhya Pradesh
Weight Sharing,ResNet50,Agriculture,86.6,83.9,58.4,21,196.6,148.5,11,Mid-Range,Poor,West Bengal
Pruning,SqueezeNet,Healthcare,93,92,47.8,28.9,207.3,123.4,12,Mid-Range,Moderate,Andhra Pradesh
Quantization,ResNet18,Healthcare,90,88.2,77.9,38.3,435.9,309.6,27.4,Low-End,Moderate,Rajasthan
Knowledge Distillation,MobileNet,Healthcare,83.8,81.5,87.4,35.6,412.2,327.6,34.7,Mid-Range,Poor,Assam
Weight Sharing,MobileNet,Healthcare,87.4,86.2,5.3,2.1,365.3,200.3,16.4,Mid-Range,Moderate,Madhya Pradesh
Pruning,SqueezeNet,Healthcare,93,90.5,9.7,3.6,414.6,329.8,15,Low-End,Good,Madhya Pradesh
Quantization,SqueezeNet,Healthcare,91.3,89.9,40,22.9,180.7,130.2,14,Mid-Range,Good,Madhya Pradesh
Knowledge Distillation,SqueezeNet,Agriculture,84.5,82,83.7,39,295.4,231.5,22.6,Mid-Range,Poor,Madhya Pradesh
Weight Sharing,EfficientNet,Agriculture,92.6,90.3,59.3,19.1,283.5,204.7,32.5,Mid-Range,Good,Uttar Pradesh
Pruning,ResNet50,Healthcare,85.8,84.4,48.8,26.4,573.5,376.8,34.5,Mid-Range,Moderate,West Bengal
Quantization,MobileNetV2,Agriculture,87.6,86.2,25.3,9.5,331.9,171.5,26.1,Mid-Range,Poor,Andhra Pradesh
Knowledge Distillation,EfficientNet,Education,92.8,90.7,88,35.7,500.6,272,21,Low-End,Moderate,Uttar Pradesh
Weight Sharing,SqueezeNet,Healthcare,90,87.2,88.4,43,446.3,254.5,20.3,Mid-Range,Good,Andhra Pradesh
Pruning,MobileNet,Education,91.9,91.2,68.9,28.1,217.7,168.6,27.7,Low-End,Poor,Andhra Pradesh
Quantization,SqueezeNet,Healthcare,87.6,86.9,49.2,27.7,460.7,288.6,19.1,Mid-Range,Poor,Odisha
Knowledge Distillation,ResNet50,Healthcare,89.9,87.9,16,10.6,345.5,212.6,17,Low-End,Poor,Assam
Weight Sharing,MobileNetV2,Agriculture,89.8,87.5,11.6,6.6,539.6,305.4,11.2,Mid-Range,Good,Odisha
Pruning,MobileNet,Education,88.9,88.3,14.1,6.8,474,323.1,18.9,Low-End,Poor,Tamil Nadu
Quantization,ResNet18,Education,88.8,86,80.3,50.3,373.1,200.8,16.4,Mid-Range,Poor,Andhra Pradesh
Knowledge Distillation,MobileNetV2,Education,87.7,85.3,89.8,50.8,250.3,128.9,39.4,Low-End,Moderate,Jharkhand
Weight Sharing,MobileNet,Education,88,87.2,35,11,362.7,230.5,37,Low-End,Poor,Rajasthan
Pruning,ResNet18,Agriculture,88.3,86,34.7,18.8,403,288.5,14.6,Low-End,Moderate,Tamil Nadu
Quantization,EfficientNet,Healthcare,93.9,92.3,47.8,24.4,555.1,427.5,32.9,Mid-Range,Good,Uttar Pradesh
Knowledge Distillation,ResNet18,Agriculture,90,87.1,54.3,38,464.4,274.7,13.9,Low-End,Good,Assam
Weight Sharing,ResNet18,Healthcare,88.8,86.1,77.6,43.5,364.4,286.9,34.3,Low-End,Good,Tamil Nadu
Pruning,MobileNetV2,Education,93.7,92.5,63.7,34,257.3,189,11.8,Low-End,Good,Odisha
Quantization,SqueezeNet,Agriculture,89.4,87.1,35.8,13.4,192,121.7,30.4,Low-End,Good,Uttar Pradesh
Knowledge Distillation,MobileNetV2,Education,92.4,91.6,97.4,53.9,422.3,222.8,12.5,Low-End,Good,Assam
Weight Sharing,EfficientNet,Education,87.8,85.9,92.6,27.9,590.2,305.9,33.3,Low-End,Good,West Bengal
Pruning,ResNet50,Agriculture,86.5,84,88.7,35,376.2,259.2,34.1,Low-End,Poor,Uttar Pradesh
Quantization,MobileNet,Healthcare,93.7,91.1,29.5,20.2,412.6,287.9,32.2,Mid-Range,Good,Bihar
Knowledge Distillation,MobileNetV2,Healthcare,90.6,89.9,30.6,20.5,263.2,149,20.7,Mid-Range,Good,Odisha
Weight Sharing,ResNet50,Healthcare,88.3,87.5,64.7,22.2,314.9,217,34.7,Low-End,Good,Andhra Pradesh
Pruning,MobileNet,Education,83.1,82,66.7,20.6,591.3,458.6,18,Low-End,Good,Assam
Quantization,ResNet50,Agriculture,93,91.3,17.5,9.5,203.9,153.1,38.4,Low-End,Good,Tamil Nadu
Knowledge Distillation,MobileNetV2,Education,89.9,88,34.1,16.6,428.2,263.7,10.9,Low-End,Good,Chhattisgarh
Weight Sharing,EfficientNet,Education,90.2,87.5,81.8,49.4,312.5,164.4,13.2,Low-End,Moderate,Madhya Pradesh
Pruning,ResNet50,Healthcare,86.9,84.2,14.2,4.9,338.7,177.7,11.8,Low-End,Moderate,Uttar Pradesh
Quantization,MobileNetV2,Agriculture,83.4,81.6,77.7,52.5,503.1,372.7,29.2,Low-End,Poor,Assam
Knowledge Distillation,SqueezeNet,Healthcare,93.2,91.3,47.5,16.6,402,210.9,27.2,Mid-Range,Good,Assam
Weight Sharing,ResNet50,Healthcare,88.6,86,22.1,11.8,408.7,240.8,38.3,Mid-Range,Moderate,Madhya Pradesh
Pruning,EfficientNet,Education,84.7,84.1,16.5,6.7,491.5,258.7,36.7,Mid-Range,Good,Odisha
Quantization,ResNet18,Education,88.1,87.6,99.7,69.2,299.5,176.3,16.9,Mid-Range,Good,Andhra Pradesh
Knowledge Distillation,EfficientNet,Education,86.8,85.8,17.7,6.4,151,92.7,12.2,Low-End,Good,Tamil Nadu
Weight Sharing,MobileNetV2,Healthcare,89.1,86.7,6.7,3.2,368.5,234,33.8,Low-End,Good,Jharkhand
Pruning,MobileNet,Healthcare,92.1,90.4,17.9,6.2,355.9,267.3,35.2,Low-End,Moderate,Odisha
Quantization,ResNet18,Agriculture,90.1,87.8,79.1,52.1,464.8,279.6,10.2,Mid-Range,Poor,West Bengal
Knowledge Distillation,EfficientNet,Education,87.1,85.2,4.1,2.9,179.1,137.1,30.5,Mid-Range,Poor,Bihar
Weight Sharing,EfficientNet,Education,88.1,85.4,38.7,19.8,233.1,140.9,34.2,Mid-Range,Good,Andhra Pradesh
Pruning,ResNet18,Agriculture,84.9,82.7,36.5,25.1,382.6,195.5,13.8,Low-End,Good,Tamil Nadu
Quantization,SqueezeNet,Education,93.2,92.6,25.8,17.5,204.8,124.4,36.4,Mid-Range,Poor,Manipur
Knowledge Distillation,ResNet18,Education,90.9,88.5,56.9,24,188.7,103.8,22.7,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,EfficientNet,Agriculture,92.5,90.3,35.3,23,452.1,347.8,21.5,Mid-Range,Poor,Jharkhand
Pruning,MobileNet,Agriculture,87.8,86.7,21.1,12.3,167.6,91.7,14.9,Low-End,Poor,Jharkhand
Quantization,EfficientNet,Agriculture,83.2,81.3,16.5,10.2,223.1,164.5,28.3,Low-End,Moderate,Assam
Knowledge Distillation,EfficientNet,Healthcare,89.7,87.3,86.2,51.4,189.5,136.9,25.4,Mid-Range,Moderate,West Bengal
Weight Sharing,ResNet18,Agriculture,90.8,90.1,43.3,21.2,169.1,100.5,13.3,Low-End,Moderate,Assam
Pruning,EfficientNet,Agriculture,91.1,88.7,87.2,48.7,369.9,274.3,22,Mid-Range,Moderate,West Bengal
Quantization,ResNet18,Healthcare,84.9,82.1,76.3,45,403.7,248.2,29,Mid-Range,Good,Manipur
Knowledge Distillation,MobileNetV2,Healthcare,89.5,88.6,54.7,20.7,279.8,147,23,Low-End,Moderate,Manipur
Weight Sharing,MobileNetV2,Education,84.7,82.5,72.5,47.4,288.7,226.4,32.5,Mid-Range,Moderate,Andhra Pradesh
Pruning,MobileNet,Agriculture,93.2,90.5,84.8,57.3,189.2,99.3,16.3,Mid-Range,Good,Assam
Quantization,ResNet18,Education,92.1,90.3,15.1,8.4,347,199.7,35.1,Low-End,Moderate,Odisha
Knowledge Distillation,ResNet18,Healthcare,84.1,82.1,8.8,6,192.9,148.3,12.1,Low-End,Poor,Uttar Pradesh
Weight Sharing,EfficientNet,Agriculture,87,84.9,77.2,41.5,413.6,257.6,21.2,Low-End,Poor,Rajasthan
Pruning,ResNet18,Education,84.2,82.5,29.6,19.6,538.9,328.6,14.6,Low-End,Moderate,Rajasthan
Quantization,EfficientNet,Education,91.2,90.6,79.6,25.1,487.1,322.8,37.9,Mid-Range,Good,Chhattisgarh
Knowledge Distillation,SqueezeNet,Agriculture,85.2,84.3,22,8.1,574.9,304,21.8,Mid-Range,Moderate,Chhattisgarh
Weight Sharing,ResNet50,Education,86.4,85.7,67.8,29.7,432.2,299.7,21.6,Low-End,Good,Chhattisgarh
Pruning,EfficientNet,Agriculture,89,86.6,66.8,30,493.2,349.8,29.7,Low-End,Moderate,Assam
Quantization,ResNet50,Healthcare,91.7,90.2,52.8,26.6,390.4,202.4,38,Low-End,Moderate,Tamil Nadu
Knowledge Distillation,SqueezeNet,Agriculture,89.9,87.3,11.3,4.8,466,362.8,30.8,Low-End,Moderate,Tamil Nadu
Weight Sharing,MobileNet,Healthcare,86.6,83.8,32.5,17.5,369.5,267.2,37.6,Low-End,Good,Andhra Pradesh
Pruning,SqueezeNet,Education,89.7,89.1,57.1,26.9,196.2,144.4,33.3,Mid-Range,Moderate,Manipur
Quantization,SqueezeNet,Agriculture,91.9,89.7,60.6,27.1,397.7,248.3,20.6,Low-End,Poor,Rajasthan
Knowledge Distillation,MobileNetV2,Education,91.2,89.2,6.9,3.8,385.6,299.8,11.8,Mid-Range,Good,Rajasthan
Weight Sharing,MobileNet,Agriculture,86.4,83.5,89.1,41.2,586.2,356.2,30.4,Mid-Range,Poor,Uttar Pradesh
Pruning,MobileNetV2,Healthcare,86.2,85.1,33.3,20.6,411.6,245.7,33,Low-End,Poor,Odisha
Quantization,MobileNetV2,Agriculture,89.3,87.3,60.6,35.6,214.5,159.4,38.6,Mid-Range,Good,Andhra Pradesh
Knowledge Distillation,SqueezeNet,Healthcare,92.8,90,93.6,55.8,461,288.4,26.2,Low-End,Poor,Uttar Pradesh
Weight Sharing,ResNet18,Healthcare,86,83.1,81,27.8,587,403.7,34.3,Low-End,Good,Jharkhand
Pruning,MobileNet,Education,92.1,89.5,33.7,22.4,536.5,422,12.9,Mid-Range,Poor,Madhya Pradesh
Quantization,MobileNet,Agriculture,87.9,85.8,82.7,50.1,530.5,390,18.3,Low-End,Moderate,Odisha
Knowledge Distillation,SqueezeNet,Agriculture,86.6,84.1,6.3,2,599.1,409.6,12.1,Mid-Range,Moderate,Rajasthan
Weight Sharing,SqueezeNet,Healthcare,87.3,85,15.6,6,299.8,168.9,10.8,Low-End,Poor,Tamil Nadu
